,Fx,Fy,Fz,Tx,Ty,Tz
32.5,29.80507,-19.02096,99.18305,5.753715,-9.979891,11.87479
32.6,-31.5024,-40.77706,26.68601,5.453121,-27.15895,4.186533
32.7,-37.89228,-16.85105,25.55995,2.576637,-27.76994,3.651992
32.8,-32.4905,5.977575,22.66065,0.837956,-27.88389,1.404998
32.9,-54.38164,-9.446425,9.694925,2.556534,-32.60552,1.889472
33,-49.89262,-3.585475,3.6898,2.018188,-32.72647,1.003749
33.1,-51.11301,0.9129125,8.873862,1.23519,-31.66405,2.153856
33.2,-52.57328,-7.096363,7.409975,2.325377,-31.43451,2.332843
33.3,-47.83109,-6.757213,9.399962,2.466706,-31.25888,1.845892
33.4,-46.27916,-8.158612,10.70346,2.615422,-30.34253,2.09145
33.5,-46.21484,-9.511662,13.11637,2.996406,-31.84402,1.386947
33.6,-1.452487,-30.97855,12.34369,5.008884,-28.0842,1.9171
33.7,-61.13889,-13.61735,17.68389,1.979656,-26.84237,4.054037
33.8,-85.60474,3.434212,27.18583,-0.727161,-37.24837,4.353002
33.9,-67.32877,5.77215,-33.09514,1.638016,-46.58171,-4.312544
34,-6.8411,5.1162,-14.0497,3.104537,-34.26353,3.40442
34.1,-51.59886,-19.87491,28.2662,4.896586,-33.23594,4.400396
34.2,-38.55945,-23.06274,20.3374,5.121391,-31.01912,2.197568
34.3,-34.87921,-10.13024,13.33335,2.980644,-32.60601,0.160392
34.4,-38.95211,-17.54712,20.53378,4.346446,-31.27757,3.508242
34.5,-37.54536,-13.80006,20.40741,4.344104,-31.38569,2.350658
34.6,-38.67961,-15.41409,18.02306,4.2864,-32.02832,2.970381
34.7,-38.57964,-13.2434,19.07124,3.854099,-31.69615,2.399821
34.8,-39.58779,-14.85538,17.18655,3.914494,-32.43239,2.594095
34.9,-41.37053,-16.58804,27.43539,4.809312,-27.8102,3.281518
35,-46.82547,-14.87275,17.01505,4.096239,-32.25986,1.879065
35.1,-57.4795,-13.89961,12.84002,4.092713,-30.83265,2.311163
