Time,Fx,Fy,Fz,Tx,Ty,Tz
27.8,-5.8446,25.76291,147.4453,1.552543,-23.82222,9.873245
27.9,-56.74381,10.86509,178.0339,3.935577,-27.3026,10.59683
28,-99.10379,6.524575,264.6313,4.898521,-26.12988,9.22643
28.1,-105.2767,9.529125,271.8333,5.066521,-27.12669,7.229408
28.2,-100.7389,12.49125,254.2275,3.931301,-25.31503,7.48579
28.3,-50.24546,12.6159,233.9859,3.769851,-20.34327,9.964431
28.4,-45.64014,16.83481,200.5555,3.417691,-23.49164,9.653737
28.5,-52.24913,9.636963,200.8553,4.490724,-23.13018,9.996032
28.6,-59.86305,15.51516,205.452,3.795864,-24.79215,9.980146
28.7,-61.8053,21.5179,207.0297,3.33236,-24.79373,9.978534
28.8,-65.78838,19.5618,207.8165,3.219688,-25.00557,10.38973
28.9,-59.41058,13.91344,205.8297,3.231411,-24.29527,10.15444
29,-59.40111,16.56545,210.1517,2.889571,-22.95825,9.96178
29.1,-62.98284,12.01714,208.853,3.753825,-24.21598,12.04838
29.2,-60.856,16.82975,203.6959,3.359005,-23.10944,11.51645
29.3,-53.20971,21.32471,203.4656,2.902072,-23.02771,10.56819
29.4,-58.92686,22.8186,207.3851,2.279637,-22.01449,10.56524
29.5,-51.77882,14.42743,209.822,2.990326,-21.44724,14.43977
29.6,-64.08318,16.71453,203.6794,2.790939,-23.53293,13.48801
29.7,-66.47276,23.25815,202.3456,1.607654,-22.13214,11.10667
29.8,-52.89879,21.9214,210.8218,1.884503,-21.19908,12.69461
29.9,-47.73421,28.555,203.2244,1.16743,-22.74896,11.78478
30,-57.73894,-2.327875,234.2139,3.628387,-19.29408,10.50682
30.1,89.53348,-246.9113,-67.4036,129.3656,-44.54715,81.43877
30.2,-24.17063,341.9428,222.7112,-27.91613,-44.50922,-133.5983
30.3,-108.2541,-112.0516,274.428,19.99546,-17.36297,74.8334
30.4,-69.55686,-39.05094,157.0759,11.06329,-38.88367,25.38797
30.5,-51.06284,76.90315,158.2578,-3.6214,-39.39712,-1.070919
30.6,-84.29312,0.3368125,174.9004,4.503431,-37.13848,22.53211
30.7,-148.1973,-25.41436,154.1841,7.520668,-56.25598,21.1497
30.8,-138.8758,-32.1637,201.4086,7.49539,-45.828,21.84518
30.9,-134.5163,-23.14591,153.6784,9.032996,-56.88169,25.16236
31,49.51106,-6.66295,220.0818,14.57477,-6.379693,6.697105
31.1,51.57093,14.77399,174.6065,3.623247,-12.10788,10.81368
31.2,27.35646,37.35339,196.3551,1.438704,-14.21424,10.38806
31.3,-3.906038,45.46805,224.024,1.021321,-16.46673,5.979103
31.4,-75.955,79.49683,233.7291,-2.558398,-21.33496,3.594438
31.5,-101.337,43.39499,204.8786,3.539893,-23.99281,7.413768
31.6,-104.5729,16.06727,192.4226,5.679747,-27.04635,10.08351
31.7,-46.32429,14.12411,204.632,5.958684,-20.14936,13.74987
31.8,-47.04055,25.49494,206.6031,5.085522,-20.2534,11.07226
31.9,-54.34275,16.02412,195.6751,6.65748,-21.83125,11.88995
32,-45.0756,16.00553,198.7088,6.857234,-18.06409,12.53441
32.1,-53.28196,17.78909,199.7466,6.878496,-17.93617,13.61954
32.2,-53.09536,15.9506,192.8634,7.178439,-19.47748,14.61889
